"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Australia","AUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6929726962278","24.4476375276627","20.8363391400396","18.342148684487","20.3318480091379","21.8779393444799","20.6366487213644","20.9000876033196","21.8141658325262","21.6282007054382","20.6305973488384","21.1959079594637","20.7475781984984","21.7799799533557","21.0829405515026","21.5210839476431","20.9800119972366","21.6570804788513","21.3606234641538","21.8933397059517","23.9969679961847","21.7842005793499","23.2399698972155","24.2883527527143","23.8935598711412","23.5795558481758","22.6519871634294","20.7052448810289","21.7963460021124","21.7045890054395","22.3417266945384","23.6955503197645","25.776588965615","25.4286711775073","",
"Austria","AUT","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.056628480125","26.7359483964229","28.1898307700907","28.7013518011879","24.8395273125451","25.8248947305645","26.0945303285528","25.7751176386955","25.4841611612385","25.9861312288427","25.6533133864183","27.1189183152887","26.3426329631149","26.7697682872812","27.8347265276203","29.2145804938162","29.3141762757544","27.5654975514581","",
"Azerbaijan","AZE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.28107379257661","2.10428394137451","13.8208838496976","6.61884098122421","14.4729191239702","20.0314553023675","23.6631064837271","22.7117285368742","26.031472350997","27.5425575943354","39.7042268292354","45.084483929383","45.3646366931048","49.9431219143338","40.3676355233235","44.7303156495938","46.7937666377981","44.2703391956061","42.7595444245626","40.7466530426271","28.1219050095256","22.600148416985","29.0257083432948","32.1495755297108","28.5735479704091","23.5689818278517","32.5315200551054","42.7271000061274","",
"Burundi","BDI","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.2636614525349","8.63455617300307","14.1953662628949","8.56435892711432","14.3924917485707","8.70394136029835","11.6815140438223","5.14371048637291","12.1115764697723","5.41727512480078","6.01727840108639","3.73755729739957","6.04074612248643","0.665303318676024","2.41802868214964","1.32796784952459","1.48988364734218","4.20017348335444","6.75563090813406","6.58731771530622","15.349424460608","8.00747385296584","7.3374335656348","-1.50473095165096","9.85453402590192","3.21313433752747","1.95173031827764","10.8824792965122","3.93252302393491","0.592294289930467","11.2847254169802","6.68533317004232","7.53106640357812","5.51466008335106","","","","","",
"Belgium","BEL","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.37176774741","26.2242285590273","27.1943475754274","27.3168221709726","27.8480009657266","28.7795848698255","27.4273411880211","25.0027358564653","25.3512921303418","23.5006448334686","24.7315892456327","24.234111842163","24.5771233592409","25.0086782160592","24.8169663577795","25.1549074397309","24.4985622607429","25.1048784011346","25.6402610083772","27.0371478873237","26.1256775292189","",
"Benin","BEN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","11.1018906357438","10.1493346314316","11.215814822317","13.6151005261159","10.5040542295679","12.6413875705939","4.17243059864788","-3.25155923539545","13.2215463107058","8.19251643322003","7.51661332851062","2.63422348633175","4.13737405141152","4.35786268267887","0.770432596116902","4.51420462512703","9.68837373776896","10.7565413906648","9.57520641648833","9.68531333749982","14.5061014735488","15.8971115379435","15.2438913301843","16.187851175992","15.7985752363326","12.4565304724931","12.6838791666836","13.278921809743","13.6132887525639","11.3663910040752","13.2568657816357","12.1909297240227","12.4648656396847","14.045190406809","12.6417407502668","11.454386753593","11.3872624204363","12.1256490039189","13.5331677371806","16.2831559494633","18.6021787632468","13.8620300516247","17.4022894323241","17.3991546117987","19.6366053688417","21.7195296538058","21.3108249179884","23.4032728224515","","",
"Burkina Faso","BFA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.85370003082686","6.313850630507","10.1689026140516","9.6044781547624","11.4920276426597","15.8387095998885","17.4955996006826","18.0633013871007","14.3904332480437","13.3891810623371","11.8593440664466","13.4507489224613","14.7864984560367","17.1079805387269","16.8441595841823","20.1843911286846","16.7258878763047","","",
"Bangladesh","BGD","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","-0.840906615995765","10.0399226067437","5.70444354275005","7.07628151550278","8.33293131362959","21.1431820523845","23.5284822468067","23.0995397210434","16.2948905366178","21.5202936429301","22.7760645678478","22.6253771914959","22.1958958405226","22.3461680145497","23.0244118634705","22.5604059246532","21.9940038300746","20.901202135505","22.4171600592845","22.1461544905179","23.1387940832004","24.397478698652","25.8340547261519","26.6599568153793","27.7974576904575","28.4222904329444","30.7491764310818","30.164596698861","31.5774006681766","32.3626785019222","35.3385044712444","36.3174346160884","37.3825328689718","38.9761198148712","38.7814710218957","38.0572325756391","40.595891051537","39.7459308370429","37.7792937399757","36.7337742271215","37.2800608030246","35.2848394039851","35.4587877415398","36.3534960939758","37.1900999847212","36.0512638151028","33.9572632404003","",
"Bulgaria","BGR","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","29.6766313830406","36.0615428859012","34.9246889325475","33.7623177906126","35.3292770334913","31.8496838501256","32.1216716341601","30.3331663532368","32.6771869156685","28.8254941989732","14.6550166774619","17.3373913043478","12.8233366533865","6.21552980930077","8.50974885844748","25.5650180178838","9.95669382695842","21.3547194769413","25.1902299414225","16.1125803138533","13.4837988966278","15.7215407210817","17.9851534104152","16.8098317438623","16.9770153391246","16.7568534421183","14.9446791406279","9.63073336467823","14.7844881728774","19.6271963420533","21.1797538908945","22.4239659754795","22.2732594847795","23.8892099931209","23.3846323834827","22.2077289905953","23.8835807214346","25.1522224489287","23.7038710337105","24.2721818879663","20.4573496143015","20.1080502409936","21.9407331902794","",
"Bahrain","BHR","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","51.0742595248646","54.4903750354909","50.1459147995386","48.967530620936","42.3357099080393","34.3019445051344","22.8021259911127","24.8863042877767","31.0825371740536","23.8177187306395","36.1795774647887","15.5326381287089","12.0353784146888","11.5174140287985","16.5663548247062","18.6394292800569","18.6078326520517","16.9656125731964","8.85091717586262","7.35567970611486","25.7332511261426","18.2399612450186","22.8278174519567","25.5474853090562","24.1054756232227","35.9663487801953","42.2086222780509","48.0889984431759","43.7261637478924","28.5859309871452","30.2751290572486","26.8797597042514","36.5301338725832","33.3457985556002","31.4068941784865","23.5993332785155","24.9461442945129","28.8557475030252","28.8244586821846","30.5823267656497","25.7217492753403","32.1713693108971","","",
